Customer_ID,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue
11098-MAD,Two Year,No,Bank Withdrawal,95.0,6683.0,0.0,0.0,631.0,7315.0
11114-PUN,Month-to-Month,Yes,Bank Withdrawal,49.0,169.0,0.0,10.0,122.0,301.0
11167-WES,Two Year,Yes,Bank Withdrawal,116.0,8297.0,42.0,110.0,1872.0,10237.0
11179-MAH,Two Year,Yes,Credit Card,84.0,5969.0,0.0,0.0,219.0,6188.0
11180-TAM,Two Year,Yes,Credit Card,72.0,4084.0,0.0,140.0,332.0,4556.0
11241-MAD,Month-to-Month,Yes,Bank Withdrawal,105.0,3634.0,0.0,0.0,95.0,3730.0
11244-JAM,One Year,No,Bank Withdrawal,76.0,1588.0,7.0,70.0,305.0,1957.0
11251-UTT,One Year,No,Bank Withdrawal,25.0,245.0,0.0,0.0,20.0,265.0
11262-HAR,Month-to-Month,Yes,Bank Withdrawal,95.0,95.0,0.0,0.0,4.0,99.0
11263-HAR,One Year,Yes,Credit Card,99.0,6311.0,0.0,0.0,90.0,6401.0
11264-MAH,Month-to-Month,Yes,Bank Withdrawal,-4.0,24.0,0.0,0.0,0.0,24.0
11272-UTT,Month-to-Month,Yes,Bank Withdrawal,75.0,256.0,0.0,0.0,133.0,389.0
11277-UTT,One Year,Yes,Bank Withdrawal,54.0,731.0,0.0,0.0,136.0,867.0
11288-MAD,Two Year,Yes,Credit Card,20.0,917.0,0.0,0.0,2112.0,3029.0
11290-JAM,Month-to-Month,Yes,Bank Withdrawal,95.0,396.0,0.0,0.0,126.0,522.0
11301-WES,One Year,Yes,Credit Card,51.0,1295.0,0.0,0.0,641.0,1936.0
11310-RAJ,One Year,Yes,Bank Withdrawal,102.0,4735.0,0.0,0.0,1535.0,6270.0
11340-JAM,One Year,Yes,Bank Withdrawal,19.0,219.0,0.0,0.0,78.0,298.0
11348-MAH,Month-to-Month,No,Bank Withdrawal,56.0,1522.0,0.0,110.0,1235.0,2867.0
11359-AND,Two Year,No,Credit Card,20.0,290.0,0.0,0.0,435.0,726.0
11370-TAM,One Year,No,Credit Card,59.0,772.0,0.0,0.0,476.0,1248.0
11392-JAM,One Year,No,Bank Withdrawal,84.0,4484.0,0.0,0.0,1655.0,6139.0
11392-KAR,Two Year,Yes,Bank Withdrawal,112.0,7806.0,0.0,0.0,235.0,8041.0
11410-AND,One Year,No,Credit Card,101.0,5070.0,0.0,0.0,1217.0,6287.0
11450-HAR,Two Year,No,Credit Card,75.0,4707.0,0.0,0.0,398.0,5106.0
11464-WES,Month-to-Month,Yes,Credit Card,99.0,1992.0,0.0,0.0,522.0,2514.0
11472-PUN,Month-to-Month,Yes,Bank Withdrawal,55.0,55.0,0.0,0.0,13.0,68.0
11474-TEL,Month-to-Month,No,Bank Withdrawal,75.0,661.0,0.0,0.0,189.0,851.0
11510-KER,Month-to-Month,Yes,Bank Withdrawal,95.0,827.0,0.0,0.0,277.0,1104.0
11535-WES,Two Year,Yes,Bank Withdrawal,58.0,3038.0,0.0,0.0,0.0,3038.0
11540-DEL,Month-to-Month,Yes,Bank Withdrawal,104.0,5135.0,0.0,0.0,2288.0,7423.0
11540-MAH,Two Year,No,Bank Withdrawal,46.0,2431.0,0.0,0.0,0.0,2431.0
11543-WES,Month-to-Month,No,Bank Withdrawal,49.0,874.0,0.0,0.0,375.0,1250.0
11596-KAR,Month-to-Month,Yes,Bank Withdrawal,49.0,571.0,0.0,80.0,114.0,766.0
11604-HAR,One Year,Yes,Bank Withdrawal,104.0,6721.0,0.0,0.0,892.0,7614.0
11616-TAM,One Year,Yes,Bank Withdrawal,68.0,1416.0,0.0,0.0,650.0,2066.0
11647-GUJ,Month-to-Month,Yes,Bank Withdrawal,69.0,1083.0,0.0,0.0,223.0,1307.0
11647-TAM,Two Year,No,Bank Withdrawal,93.0,5625.0,0.0,0.0,125.0,5751.0
11663-GUJ,Two Year,Yes,Bank Withdrawal,59.0,4069.0,0.0,0.0,3408.0,7478.0
11679-PUN,Month-to-Month,Yes,Bank Withdrawal,98.0,973.0,0.0,0.0,373.0,1346.0
11691-RAJ,Two Year,No,Credit Card,77.0,5396.0,0.0,0.0,2424.0,7821.0
11713-MAD,Month-to-Month,Yes,Mailed Check,74.0,74.0,0.0,10.0,22.0,106.0
11744-TAM,One Year,Yes,Credit Card,70.0,4224.0,0.0,0.0,2332.0,6557.0
11751-TAM,Month-to-Month,No,Mailed Check,24.0,38.0,0.0,0.0,0.0,38.0
11751-UTT,Month-to-Month,Yes,Bank Withdrawal,100.0,1060.0,0.0,0.0,452.0,1512.0
11765-PUD,Two Year,No,Bank Withdrawal,19.0,1167.0,19.0,0.0,2401.0,3549.0
11770-PUN,Two Year,No,Credit Card,20.0,970.0,0.0,0.0,947.0,1918.0
11799-MAH,Month-to-Month,No,Bank Withdrawal,99.0,5943.0,0.0,0.0,924.0,6867.0
11799-TAM,Month-to-Month,Yes,Mailed Check,45.0,45.0,0.0,0.0,0.0,45.0
11802-TAM,Two Year,No,Credit Card,25.0,1336.0,37.0,0.0,1765.0,3064.0
11814-GUJ,Month-to-Month,Yes,Bank Withdrawal,105.0,6281.0,0.0,0.0,2787.0,9069.0
11850-MAH,Two Year,No,Credit Card,75.0,3480.0,0.0,0.0,422.0,3902.0
11873-HAR,Month-to-Month,Yes,Credit Card,50.0,2221.0,0.0,0.0,292.0,2513.0
11878-RAJ,Month-to-Month,Yes,Bank Withdrawal,71.0,1167.0,0.0,0.0,734.0,1902.0
11882-BIH,Month-to-Month,No,Bank Withdrawal,78.0,378.0,0.0,0.0,61.0,439.0
11887-MAD,Month-to-Month,Yes,Credit Card,69.0,3168.0,0.0,0.0,1466.0,4634.0
11899-MAH,One Year,Yes,Bank Withdrawal,103.0,6767.0,0.0,0.0,102.0,6869.0
11906-MAD,Month-to-Month,Yes,Bank Withdrawal,79.0,523.0,0.0,10.0,134.0,667.0
11918-UTT,One Year,Yes,Bank Withdrawal,94.0,3365.0,0.0,0.0,715.0,4080.0
11920-HAR,Month-to-Month,Yes,Bank Withdrawal,63.0,155.0,0.0,0.0,10.0,166.0
11922-PUN,Two Year,Yes,Credit Card,105.0,7589.0,0.0,0.0,473.0,8063.0
