Customer_ID,Gender,Age,Married,Number_of_Referrals,Tenure_in_Months,churn_id,state_id
11098-MAD,Female,30,Yes,0,31,1,20
11114-PUN,Male,51,No,5,9,3,26
11167-WES,Female,43,Yes,3,28,1,3
11179-MAH,Male,35,No,10,12,1,2
11180-TAM,Male,75,Yes,12,27,1,5
11241-MAD,Female,41,Yes,4,11,1,20
11244-JAM,Female,20,No,3,9,1,41
11251-UTT,Female,51,No,1,19,1,51
11262-HAR,Female,73,Yes,5,32,212,32
11263-HAR,Female,41,No,13,31,1,32
11264-MAH,Female,27,Yes,14,17,4,2
11272-UTT,Female,65,No,0,19,72,10
11277-UTT,Male,66,Yes,10,23,1,10
11288-MAD,Male,52,No,6,24,1,20
11290-JAM,Female,70,Yes,0,36,20,41
11301-WES,Female,31,No,7,5,1,3
11310-RAJ,Female,78,Yes,0,15,1,11
11340-JAM,Female,21,No,8,7,1,41
11348-MAH,Female,46,No,11,19,1,2
11359-AND,Female,28,Yes,3,6,1,19
11370-TAM,Female,21,No,15,10,1,5
11392-JAM,Female,39,Yes,11,1,1,41
11392-KAR,Female,28,Yes,9,32,1,4
11410-AND,Male,80,No,1,4,1,19
11450-HAR,Male,60,Yes,5,18,1,32
11464-WES,Male,25,No,12,5,1,3
11472-PUN,Female,33,No,8,6,3,26
11474-TEL,Male,59,Yes,0,18,1,6
11510-KER,Female,46,No,10,4,1,73
11535-WES,Male,43,No,5,23,1,3
11540-DEL,Male,63,Yes,15,15,1,1
11540-MAH,Female,50,Yes,6,20,1,2
11543-WES,Female,35,Yes,0,7,111,3
11596-KAR,Female,40,No,15,11,1,4
11604-HAR,Female,38,Yes,4,8,1,32
11616-TAM,Male,26,No,6,2,1,5
11647-GUJ,Male,44,No,2,4,1,8
11647-TAM,Male,81,No,1,21,1,5
11663-GUJ,Male,28,No,13,13,1,8
11679-PUN,Female,38,Yes,13,35,63,26
11691-RAJ,Female,68,Yes,13,10,1,11
11713-MAD,Female,22,Yes,4,5,72,20
11744-TAM,Female,52,No,11,12,1,5
11751-TAM,Female,18,No,5,7,18,5
11751-UTT,Male,39,No,4,23,72,10
11765-PUD,Male,32,Yes,10,36,1,238
11770-PUN,Male,38,Yes,2,4,1,26
11799-MAH,Male,45,No,5,23,1,2
11799-TAM,Male,33,No,9,20,3,5
11802-TAM,Male,34,No,0,8,1,5
11814-GUJ,Female,45,Yes,12,9,3,8
11850-MAH,Male,74,Yes,5,6,1,2
11873-HAR,Male,45,Yes,9,10,1,32
11878-RAJ,Male,75,Yes,15,17,72,11
11882-BIH,Female,74,No,14,15,63,16
11887-MAD,Female,33,No,2,33,1,20
11899-MAH,Male,74,No,3,11,1,2
11906-MAD,Female,53,No,2,29,3,20
11918-UTT,Male,66,No,13,32,1,10
11920-HAR,Female,61,Yes,10,24,67,32
11922-PUN,Female,48,Yes,5,2,1,26
11925-MAH,Female,78,Yes,12,12,1,2
11939-UTT,Male,65,Yes,5,5,22,10
11952-RAJ,Female,45,No,3,10,1,11
11952-TEL,Female,42,Yes,0,4,26,6
11958-TAM,Female,29,No,2,23,1,5
11965-BIH,Female,38,Yes,4,21,20,16
11987-PUN,Female,43,No,14,6,1,26
11991-RAJ,Male,66,Yes,14,15,1,11
12016-TAM,Female,57,Yes,0,9,141,5
12052-PUN,Female,33,No,11,31,1,26
12056-WES,Male,27,No,2,20,18,3
12069-UTT,Female,30,Yes,10,14,1,10
12079-MAH,Female,73,Yes,2,4,212,2
12112-MAD,Female,27,No,14,4,1,20
12118-TAM,Female,23,No,7,3,72,5
12136-RAJ,Female,25,Yes,2,35,18,11
12149-JAM,Female,66,Yes,7,26,20,41
12170-AND,Female,38,Yes,15,2,22,19
12193-KER,Male,56,Yes,15,4,1,73
12210-AND,Male,66,No,9,31,1,19
12210-DEL,Female,52,No,0,31,1,1
12225-TAM,Female,25,No,13,14,1,5
12236-BIH,Female,34,Yes,5,11,1,16
12255-KER,Female,54,Yes,8,2,1,73
12257-ASS,Female,39,No,9,1,18,46
12266-HAR,Female,46,No,2,5,1,32
12272-WES,Male,66,No,9,8,1,3
12281-RAJ,Male,80,No,14,25,1,11
12296-MAD,Male,65,Yes,14,2,1,20
12303-BIH,Female,56,No,7,14,1,16
12305-AND,Male,28,Yes,13,22,1,19
12337-MAH,Male,28,No,11,8,193,2
12340-DEL,Female,51,Yes,0,10,18,1
12341-HAR,Female,38,No,9,29,1,32
12342-KER,Male,76,No,9,3,1,73
12345-TEL,Female,71,Yes,9,34,3,6
12370-JAM,Female,49,Yes,2,29,20,41
12377-JAM,Female,56,No,2,3,1,41
12377-UTT,Female,18,No,15,2,1,10
12378-KAR,Female,46,Yes,7,20,1,4
12382-WES,Male,33,No,10,7,1,3
12390-KAR,Male,24,Yes,9,12,1,4
12391-TEL,Male,40,No,9,24,1,6
12426-KER,Male,35,No,12,30,1,73
12429-JAM,Female,54,Yes,6,16,1,41
12437-TAM,Female,41,Yes,15,20,1,5
12443-AND,Female,48,Yes,15,9,63,19
12469-AND,Male,24,Yes,11,4,18,19
12476-HAR,Female,50,No,1,21,1,32
12490-TEL,Female,52,No,9,6,18,6
12505-GUJ,Male,29,No,0,7,19,8
12510-MAH,Male,44,Yes,14,33,1,2
12511-DEL,Male,50,Yes,2,18,1,1
12513-MAH,Female,18,No,3,3,1,2
12516-TAM,Female,25,Yes,3,30,1,5
12520-HAR,Female,25,Yes,1,27,1,32
12528-JAM,Female,71,No,14,21,20,41
12531-AND,Male,56,No,1,12,1,19
12536-KAR,Male,40,Yes,1,35,1,4
12541-WES,Female,37,Yes,14,35,1,3
12545-ASS,Female,38,Yes,13,33,20,46
12584-AND,Female,64,No,11,13,1,19
12590-UTT,Female,36,Yes,14,7,1,10
12592-AND,Female,52,Yes,8,2,1,19
