service_id,Value_Deal,Phone_Service,Multiple_Lines,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Internet_ID,Customer_ID
1,None,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,1,19877-DEL
2,None,Yes,Yes,No,No,No,No,No,Yes,Yes,No,1,58353-MAH
3,Deal 5,Yes,No,No,No,Yes,No,No,No,No,Yes,3,25063-WES
4,Deal 4,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,3,59787-KAR
5,None,Yes,No,No,No,No,Yes,Yes,No,No,Yes,3,28544-TAM
6,Deal 5,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,1,32750-TEL
7,Deal 1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,84741-MAH
8,Deal 2,Yes,Yes,Yes,No,No,Yes,No,No,No,No,3,65618-GUJ
9,Deal 5,Yes,No,Yes,No,No,No,No,No,No,Yes,9,64233-GUJ
10,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,23612-UTT
11,None,No,No,Yes,No,No,Yes,Yes,No,No,Yes,1,45397-RAJ
12,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,53023-UTT
13,None,Yes,No,No,No,No,No,No,No,No,Yes,3,13717-UTT
14,Deal 1,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,3,71897-MAH
15,None,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,9,15776-UTT
16,Deal 1,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,3,56731-BIH
17,None,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,9,49302-GUJ
18,Deal 5,Yes,Yes,No,No,No,No,No,No,No,Yes,3,93520-GUJ
19,None,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,9,73360-AND
20,None,No,No,No,No,No,No,No,No,No,Yes,1,36756-MAD
21,None,Yes,Yes,No,No,No,No,No,No,No,Yes,21,11925-MAH
22,None,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,3,87346-MAD
23,Deal 4,Yes,Yes,No,No,No,No,Yes,No,No,Yes,3,86818-MAH
24,None,Yes,No,No,No,No,No,No,No,No,Yes,21,57256-BIH
25,Deal 5,Yes,No,No,No,No,No,No,No,No,Yes,21,65431-CHH
26,None,No,No,Yes,No,No,No,No,No,No,Yes,9,13829-PUN
27,None,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,3,19279-UTT
28,None,Yes,No,No,No,No,No,No,No,No,Yes,21,27129-TAM
29,Deal 3,Yes,No,No,No,No,No,No,No,No,Yes,21,81327-JHA
30,None,Yes,No,No,No,No,No,No,No,No,Yes,21,42012-UTT
31,Deal 3,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,3,79321-MAH
32,Deal 2,Yes,No,No,No,No,No,No,No,No,Yes,21,82811-HAR
33,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,36568-HAR
34,None,Yes,No,No,No,No,No,No,No,No,Yes,21,62683-UTT
35,None,No,No,Yes,No,Yes,Yes,No,No,No,Yes,1,18223-MAD
36,None,Yes,Yes,No,No,No,No,No,No,No,Yes,21,41111-MAH
37,Deal 2,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,3,74542-MAH
38,Deal 2,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,3,18842-HAR
39,None,Yes,No,No,No,No,No,No,No,No,Yes,21,12210-DEL
40,Deal 3,Yes,Yes,No,No,No,No,No,No,No,Yes,3,76566-UTT
41,None,Yes,No,Yes,No,No,No,No,No,No,Yes,9,73036-JAM
42,Deal 3,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,42964-MAH
43,None,Yes,Yes,No,No,No,No,No,No,No,Yes,21,18220-JHA
44,None,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,1,47645-PUN
45,None,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,9,82015-UTT
46,None,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,15644-ASS
47,None,Yes,No,No,Yes,No,No,No,No,No,Yes,1,24801-WES
48,Deal 3,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,3,85794-JHA
49,Deal 5,Yes,No,No,No,No,No,No,No,No,Yes,9,72357-MAD
50,None,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,3,28648-DEL
51,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,9,85682-UTT
52,None,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,3,93096-AND
53,None,Yes,No,No,No,No,No,Yes,Yes,No,Yes,3,49974-RAJ
54,None,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,3,36405-CHH
55,Deal 4,Yes,No,No,Yes,No,No,Yes,Yes,No,No,3,22439-RAJ
56,Deal 5,Yes,Yes,No,No,No,No,No,No,No,Yes,1,33514-UTT
57,None,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,9,21555-JHA
58,None,Yes,No,No,No,No,No,No,No,No,Yes,21,46640-PUN
59,None,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,3,23376-TAM
60,None,Yes,No,No,No,Yes,No,No,No,No,Yes,9,98423-JAM
61,None,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,9,34135-MAH
62,Deal 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,89530-KAR
63,Deal 5,Yes,No,No,No,No,No,No,No,No,Yes,21,69173-TAM
64,None,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,3,22286-HAR
65,Deal 3,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,3,66581-UTT
66,Deal 4,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,3,22573-TAM
67,Deal 2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,1,25964-HAR
68,Deal 1,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,92186-PUN
69,None,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,3,39892-ODI
70,Deal 4,Yes,No,No,No,No,No,No,No,No,Yes,21,71292-MAH
71,None,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,3,31698-PUN
72,None,No,No,Yes,Yes,Yes,No,No,No,No,Yes,9,76182-UTT
73,None,Yes,No,Yes,No,No,No,Yes,No,No,Yes,3,73588-KER
74,Deal 2,No,No,Yes,No,No,Yes,No,No,No,Yes,9,59410-MAH
75,None,Yes,Yes,No,No,No,No,No,No,Yes,Yes,3,69444-JAM
76,Deal 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,66365-UTT
77,Deal 4,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,3,66612-TEL
78,None,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,9,39181-WES
79,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,3,97688-TAM
80,None,Yes,No,No,No,No,No,No,No,No,Yes,21,71687-KER
81,Deal 1,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,3,34524-MAH
82,None,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,3,93739-UTT
83,None,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,9,21662-AND
84,Deal 4,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,3,19096-WES
85,None,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,3,72489-HAR
86,Deal 5,Yes,Yes,No,Yes,No,No,No,No,No,Yes,3,46624-WES
87,Deal 5,Yes,No,No,No,No,No,No,No,No,Yes,21,14078-MAH
88,None,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,3,34425-ASS
89,Deal 3,Yes,No,No,No,No,No,No,No,No,Yes,21,41236-GUJ
90,None,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,3,68369-UTT
91,None,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,3,91027-CHH
92,Deal 5,Yes,No,No,No,No,No,No,No,No,Yes,3,85993-KAR
93,Deal 4,Yes,No,Yes,No,No,Yes,No,No,No,Yes,9,12999-BIH
94,Deal 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,48768-MAD
95,None,Yes,No,No,No,No,No,No,No,No,Yes,21,86994-ODI
96,None,Yes,Yes,No,No,No,No,Yes,No,No,Yes,3,95096-UTT
97,None,Yes,Yes,No,No,No,No,No,No,No,Yes,21,71676-GUJ
98,None,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,3,84002-ODI
99,None,Yes,No,No,No,No,No,No,No,No,Yes,21,66612-KAR
100,None,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,3,32553-TAM
101,None,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,72664-JAM
102,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,78178-UTT
103,None,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,3,31311-PUN
104,Deal 3,Yes,No,Yes,No,No,No,No,No,No,Yes,3,78389-KER
105,None,Yes,No,No,No,No,No,No,No,No,Yes,21,22119-WES
106,Deal 3,No,No,Yes,No,No,Yes,No,No,No,Yes,1,47077-WES
107,None,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,9,94522-JHA
108,None,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3,53287-MAH
109,Deal 4,Yes,Yes,No,No,No,No,No,Yes,Yes,No,3,21811-CHH
110,None,Yes,Yes,No,No,No,No,No,No,No,Yes,3,16554-RAJ
111,None,Yes,Yes,No,No,No,No,No,Yes,No,Yes,3,32681-MAH
112,None,Yes,Yes,Yes,No,Yes,No,No,No,No,No,3,92676-MAH
113,None,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,3,37347-AND
114,Deal 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,53535-ASS
115,Deal 3,Yes,Yes,No,No,No,No,No,No,No,Yes,21,39219-KAR
116,Deal 2,Yes,No,No,No,No,No,No,No,No,Yes,21,17059-RAJ
117,Deal 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,23294-TAM
118,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,3,47612-AND
119,Deal 4,Yes,No,No,No,No,No,No,No,No,Yes,21,14331-DEL
120,None,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,1,76357-UTT
121,None,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,77938-MAD
122,Deal 3,Yes,No,Yes,Yes,Yes,No,No,No,No,No,3,81013-RAJ
123,Deal 1,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,3,17799-UTT
124,None,Yes,No,No,No,No,No,No,No,No,Yes,21,46189-MAH
125,Deal 5,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,3,62148-JAM
126,Deal 5,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,3,31049-TAM
127,None,Yes,No,No,No,No,No,No,No,No,Yes,21,11340-JAM
128,Deal 5,Yes,No,Yes,No,No,No,No,No,No,Yes,3,41758-BIH
129,Deal 2,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,9,63633-KAR
130,None,Yes,Yes,No,No,No,No,No,No,Yes,Yes,1,74023-JAM
131,Deal 5,Yes,No,No,No,No,No,No,No,No,Yes,21,14575-MAH
132,Deal 5,Yes,No,No,No,No,No,No,No,No,Yes,1,79168-UTT
133,Deal 5,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,3,66712-GUJ
134,Deal 4,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,9,72939-GUJ
135,Deal 1,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,9,57115-BIH
136,Deal 2,No,No,Yes,No,No,Yes,No,No,No,Yes,9,68244-TAM
137,None,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,9,22915-MAH
138,None,Yes,No,No,No,No,Yes,No,No,No,Yes,3,32554-DEL
139,None,Yes,Yes,No,No,Yes,No,No,No,No,Yes,3,69435-MAD
140,None,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,9,76712-AND
141,Deal 5,Yes,No,No,No,Yes,No,Yes,No,No,Yes,3,65631-RAJ
142,None,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,3,86508-UTT
143,Deal 2,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3,87360-MAH
144,Deal 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,46487-KAR
145,None,Yes,Yes,Yes,Yes,No,No,No,No,No,No,3,38198-KER
146,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,75857-MAH
147,None,Yes,No,No,No,No,No,No,No,No,Yes,21,53815-BIH
148,None,Yes,Yes,No,No,No,No,No,No,No,Yes,1,34110-MAH
149,Deal 1,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,3,32391-BIH
150,None,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,9,12266-HAR
151,None,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,97111-KAR
152,Deal 2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1,83158-TAM
153,Deal 1,Yes,No,No,Yes,No,No,No,No,No,Yes,1,67464-KAR
154,Deal 3,Yes,No,No,No,No,No,No,Yes,Yes,Yes,3,81184-BIH
155,Deal 3,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,9,54671-PUN
156,None,Yes,No,Yes,No,No,No,No,No,No,Yes,1,73571-DEL
157,None,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,3,12056-WES
158,Deal 5,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,1,73101-JAM
159,None,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1,84766-UTT
160,Deal 2,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,1,33497-HAR
161,None,Yes,No,No,No,No,No,No,No,No,Yes,21,95107-KER
162,Deal 3,Yes,Yes,No,No,No,No,No,No,No,Yes,3,57610-JAM
163,Deal 4,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,71415-KER
164,Deal 1,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,3,28330-GUJ
165,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,43171-MAH
166,Deal 5,Yes,No,No,No,No,No,No,No,No,Yes,21,57568-KER
167,None,Yes,Yes,No,No,No,No,No,No,No,Yes,21,12377-UTT
168,None,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,9,63614-WES
169,Deal 5,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1,78895-HAR
170,Deal 5,Yes,No,No,No,No,No,Yes,No,No,Yes,9,54667-TEL
171,Deal 1,No,No,No,No,No,Yes,Yes,Yes,Yes,No,1,74887-UTT
172,Deal 5,Yes,No,No,No,No,No,No,No,No,Yes,21,78121-MAH
173,None,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,3,99322-HAR
174,Deal 2,Yes,No,No,No,No,No,No,No,No,Yes,21,44370-AND
175,Deal 4,No,No,No,No,No,Yes,No,No,No,Yes,9,89415-WES
176,None,Yes,No,Yes,Yes,No,No,No,No,No,Yes,9,17308-HAR
177,None,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,9,82027-UTT
178,Deal 2,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,82321-PUN
179,None,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,3,84842-KER
